time,community_id,size,label
timestamp1,C3,125,C3
timestamp1,C4,115,C4
timestamp1,C5,115,C5
timestamp1,C6,106,C6
timestamp1,C7,64,C7
timestamp1,C8,57,C8
timestamp1,C9,55,C9
timestamp1,C10,48,C10
timestamp1,C11,40,C11
timestamp1,C12,35,C12
timestamp1,C13,31,C13
timestamp1,C14,27,C14
timestamp1,C15,26,C15
timestamp1,C16,25,C16
timestamp1,C17,15,C17
timestamp1,C18,14,C18
timestamp1,C19,11,C19
timestamp1,C20,10,C20
timestamp1,C21,7,C21
timestamp1,C22,7,C22
timestamp1,C23,7,C23
timestamp1,C0,232,C0
timestamp1,C25,5,C25
timestamp1,C24,6,C24
timestamp1,C26,5,C26
timestamp1,C27,4,C27
timestamp1,C28,4,C28
timestamp1,C29,4,C29
timestamp1,C30,3,C30
timestamp1,C31,3,C31
timestamp1,C32,3,C32
timestamp1,C33,3,C33
timestamp1,C34,2,C34
timestamp1,C35,2,C35
timestamp1,C36,2,C36
timestamp1,C1,156,C1
timestamp1,C2,137,C2
