src,dst,time
359,616,timestamp1
576,176,timestamp1
1012,966,timestamp1
1272,1395,timestamp1
359,103,timestamp1
576,195,timestamp1
1012,1496,timestamp1
1272,29,timestamp1
359,1357,timestamp1
576,918,timestamp1
1012,801,timestamp1
1272,392,timestamp1
359,1152,timestamp1
576,1123,timestamp1
1012,1159,timestamp1
1272,471,timestamp1
359,562,timestamp1
576,682,timestamp1
1012,146,timestamp1
1272,699,timestamp1
359,926,timestamp1
576,956,timestamp1
1012,1176,timestamp1
1272,5,timestamp1
359,249,timestamp1
576,839,timestamp1
1012,649,timestamp1
1272,1248,timestamp1
359,448,timestamp1
576,199,timestamp1
1012,1212,timestamp1
1272,581,timestamp1
359,179,timestamp1
576,331,timestamp1
1012,1036,timestamp1
1272,912,timestamp1
359,738,timestamp1
576,1121,timestamp1
1012,206,timestamp1
1272,251,timestamp1
359,356,timestamp1
576,1269,timestamp1
1012,1399,timestamp1
1272,223,timestamp1
359,419,timestamp1
576,73,timestamp1
1012,1418,timestamp1
1272,167,timestamp1
359,1075,timestamp1
576,1207,timestamp1
1012,226,timestamp1
1272,25,timestamp1
359,871,timestamp1
576,1397,timestamp1
1012,873,timestamp1
1272,676,timestamp1
359,673,timestamp1
576,306,timestamp1
1012,439,timestamp1
1272,743,timestamp1
359,503,timestamp1
576,194,timestamp1
1012,235,timestamp1
1272,1439,timestamp1
359,784,timestamp1
576,1029,timestamp1
1012,88,timestamp1
1272,318,timestamp1
359,670,timestamp1
576,436,timestamp1
1012,162,timestamp1
1272,16,timestamp1
359,688,timestamp1
576,1409,timestamp1
1012,1145,timestamp1
1272,905,timestamp1
359,1000,timestamp1
576,627,timestamp1
1012,1142,timestamp1
1272,203,timestamp1
359,702,timestamp1
576,1087,timestamp1
1012,704,timestamp1
1272,519,timestamp1
359,28,timestamp1
2,577,timestamp1
1012,791,timestamp1
1272,53,timestamp1
359,718,timestamp1
62,578,timestamp1
1012,1155,timestamp1
1272,411,timestamp1
359,1261,timestamp1
123,579,timestamp1
1012,537,timestamp1
1272,181,timestamp1
359,362,timestamp1
70,580,timestamp1
1012,685,timestamp1
1272,895,timestamp1
359,803,timestamp1
23,581,timestamp1
1012,157,timestamp1
1272,1379,timestamp1
359,722,timestamp1
2,582,timestamp1
169,1013,timestamp1
1272,1400,timestamp1
359,379,timestamp1
47,582,timestamp1
31,1014,timestamp1
1272,589,timestamp1
359,697,timestamp1
96,582,timestamp1
20,1015,timestamp1
1272,1416,timestamp1
359,420,timestamp1
79,582,timestamp1
70,1016,timestamp1
1272,1041,timestamp1
359,1264,timestamp1
79,583,timestamp1
123,1017,timestamp1
1272,421,timestamp1
359,641,timestamp1
96,583,timestamp1
254,1018,timestamp1
1272,93,timestamp1
359,1210,timestamp1
20,584,timestamp1
90,1019,timestamp1
1272,266,timestamp1
359,368,timestamp1
20,585,timestamp1
55,1020,timestamp1
1272,286,timestamp1
359,187,timestamp1
76,585,timestamp1
14,1021,timestamp1
1272,549,timestamp1
359,1161,timestamp1
2,586,timestamp1
31,1021,timestamp1
1272,945,timestamp1
359,113,timestamp1
6,587,timestamp1
1022,669,timestamp1
1272,231,timestamp1
359,488,timestamp1
37,588,timestamp1
1022,558,timestamp1
1272,611,timestamp1
359,1005,timestamp1
8,588,timestamp1
1022,928,timestamp1
1272,745,timestamp1
359,1151,timestamp1
123,589,timestamp1
1022,781,timestamp1
1272,166,timestamp1
359,181,timestamp1
83,590,timestamp1
1022,569,timestamp1
1272,144,timestamp1
359,550,timestamp1
264,591,timestamp1
1022,1048,timestamp1
1272,339,timestamp1
359,1058,timestamp1
76,592,timestamp1
1022,268,timestamp1
1272,164,timestamp1
359,147,timestamp1
20,592,timestamp1
1022,145,timestamp1
1272,877,timestamp1
359,161,timestamp1
20,593,timestamp1
1022,322,timestamp1
1272,860,timestamp1
359,882,timestamp1
76,593,timestamp1
1022,1216,timestamp1
1272,1486,timestamp1
359,369,timestamp1
66,594,timestamp1
1022,1425,timestamp1
1272,604,timestamp1
359,592,timestamp1
90,595,timestamp1
1022,1281,timestamp1
1272,104,timestamp1
359,680,timestamp1
20,596,timestamp1
1022,931,timestamp1
1272,1436,timestamp1
359,761,timestamp1
2,597,timestamp1
1022,601,timestamp1
1272,778,timestamp1
359,1457,timestamp1
169,598,timestamp1
1022,712,timestamp1
1272,256,timestamp1
359,208,timestamp1
169,599,timestamp1
1022,1301,timestamp1
1272,253,timestamp1
359,120,timestamp1
85,600,timestamp1
1022,1303,timestamp1
1272,717,timestamp1
359,281,timestamp1
523,601,timestamp1
1022,976,timestamp1
1272,26,timestamp1
359,760,timestamp1
23,602,timestamp1
1022,844,timestamp1
1272,892,timestamp1
359,273,timestamp1
31,603,timestamp1
1022,766,timestamp1
1272,137,timestamp1
359,410,timestamp1
60,604,timestamp1
1022,239,timestamp1
1272,590,timestamp1
359,788,timestamp1
85,605,timestamp1
1022,1150,timestamp1
1272,1328,timestamp1
359,196,timestamp1
123,606,timestamp1
1022,384,timestamp1
1272,929,timestamp1
359,1291,timestamp1
0,607,timestamp1
1022,679,timestamp1
1272,1108,timestamp1
359,283,timestamp1
76,608,timestamp1
1022,336,timestamp1
1272,1246,timestamp1
359,276,timestamp1
17,608,timestamp1
1022,1027,timestamp1
1272,156,timestamp1
359,257,timestamp1
20,608,timestamp1
1022,585,timestamp1
1272,333,timestamp1
359,990,timestamp1
20,609,timestamp1
1022,930,timestamp1
1272,832,timestamp1
359,285,timestamp1
72,610,timestamp1
1022,581,timestamp1
1272,1187,timestamp1
359,1071,timestamp1
79,611,timestamp1
1022,234,timestamp1
1272,865,timestamp1
359,409,timestamp1
14,612,timestamp1
1022,576,timestamp1
1272,748,timestamp1
359,353,timestamp1
2,613,timestamp1
1022,511,timestamp1
1272,1336,timestamp1
359,473,timestamp1
14,614,timestamp1
1022,765,timestamp1
1272,242,timestamp1
359,961,timestamp1
169,615,timestamp1
1022,1367,timestamp1
1272,433,timestamp1
359,613,timestamp1
20,616,timestamp1
1022,1059,timestamp1
1272,468,timestamp1
359,579,timestamp1
17,616,timestamp1
1022,98,timestamp1
1272,10,timestamp1
359,115,timestamp1
76,616,timestamp1
1022,1045,timestamp1
1272,1488,timestamp1
359,725,timestamp1
55,616,timestamp1
1022,1224,timestamp1
1272,1267,timestamp1
359,639,timestamp1
617,299,timestamp1
1022,1410,timestamp1
1272,51,timestamp1
359,125,timestamp1
2,617,timestamp1
1022,1148,timestamp1
1272,1112,timestamp1
359,972,timestamp1
96,617,timestamp1
1022,938,timestamp1
1272,461,timestamp1
359,645,timestamp1
523,618,timestamp1
1022,1002,timestamp1
1272,317,timestamp1
359,1449,timestamp1
79,619,timestamp1
1022,97,timestamp1
1272,52,timestamp1
359,22,timestamp1
60,620,timestamp1
1022,315,timestamp1
1272,470,timestamp1
359,973,timestamp1
20,621,timestamp1
1022,491,timestamp1
1272,1380,timestamp1
359,483,timestamp1
17,621,timestamp1
1022,489,timestamp1
1272,1455,timestamp1
359,794,timestamp1
76,621,timestamp1
1022,1028,timestamp1
1272,1172,timestamp1
359,27,timestamp1
2,622,timestamp1
1022,1149,timestamp1
76,1273,timestamp1
359,608,timestamp1
47,623,timestamp1
1022,797,timestamp1
20,1273,timestamp1
359,304,timestamp1
79,623,timestamp1
1022,941,timestamp1
254,1274,timestamp1
359,527,timestamp1
62,624,timestamp1
1022,386,timestamp1
264,1275,timestamp1
359,504,timestamp1
62,625,timestamp1
1022,1026,timestamp1
6,1276,timestamp1
359,21,timestamp1
23,626,timestamp1
1022,559,timestamp1
70,1277,timestamp1
359,418,timestamp1
2,627,timestamp1
1022,1447,timestamp1
37,1278,timestamp1
